species,region,range
Couma macrocarpa,c.0.-5,500
Couma macrocarpa,d.-5.-10,400
Couma macrocarpa,e.-10.-15,500
Couma macrocarpa,f.-15.-20,N/A
Couma macrocarpa,g.-20.-25,N/A
Couratari guianensis,a.10.5,800
Couratari guianensis,b.5.0,500
Couratari guianensis,c.0.-5,200
Couratari guianensis,d.-5.-10,100
Couratari guianensis,e.-10.-15,600
Couratari guianensis,f.-15.-20,N/A
Couratari guianensis,g.-20.-25,N/A
Couroupita guianensis,a.10.5,100
Couroupita guianensis,b.5.0,400
Couroupita guianensis,c.0.-5,400
Couroupita guianensis,d.-5.-10,200
Couroupita guianensis,e.-10.-15,100
Couroupita guianensis,f.-15.-20,N/A
Couroupita guianensis,g.-20.-25,N/A
Coussapoa contorta,a.10.5,900
Coussapoa contorta,b.5.0,900
Coussapoa contorta,c.0.-5,1000
Coussapoa contorta,d.-5.-10,N/A
Coussapoa contorta,e.-10.-15,N/A
Coussapoa contorta,f.-15.-20,N/A
Coussapoa contorta,g.-20.-25,N/A
Coussapoa crassivenosa,a.10.5,400
Coussapoa crassivenosa,b.5.0,800
Coussapoa crassivenosa,c.0.-5,1300
Coussapoa crassivenosa,d.-5.-10,N/A
Coussapoa crassivenosa,e.-10.-15,0
